account_id,incoming_txns,outgoing_txns,time_between_txns,txn_amount_variance,unique_counterparties,txn_frequency,round_number_flag,reversal_flag,hour_of_day,account_age_days
3546,17,18,5.07,31137.42,20,27,1,0,21,3523
9004,16,3,1.43,38124.35,3,82,1,1,1,1396
5291,10,47,1.38,35072.67,15,71,1,0,3,3647
3442,34,2,0.21,26918.87,12,75,0,1,4,1292
1653,22,13,2.21,40124.47,8,86,0,1,17,2572
4878,10,11,0.34,54833.25,14,4,0,1,13,3569
5065,17,10,6.71,10050.81,4,49,0,1,7,3374
6728,19,50,0.89,53256.55,8,29,0,0,12,1171
5573,22,41,1.96,58105.57,17,52,1,0,3,761
5349,2,6,0.84,36416.64,20,56,1,1,13,2124
4114,16,2,5.89,37786.33,14,1,0,1,13,2750
6143,42,7,5.45,38226.49,10,65,1,1,10,2885
3085,12,26,0.51,34151.81,13,87,0,1,12,3444
5700,13,27,1.81,3977.13,19,78,1,1,14,2797
8752,50,50,1.02,16988.2,6,85,0,1,16,2622
2530,48,15,0.5,20785.13,10,29,0,0,0,1032
2193,29,26,0.69,80647.18,19,25,1,1,12,634
1090,48,49,1.11,56358.89,4,100,1,0,5,1932
5082,7,29,2.19,25822.76,5,60,1,1,19,1777
9976,28,10,1.67,43089.39,16,58,1,0,20,3166
8939,40,15,1.14,34057.95,9,57,0,1,7,1405
9849,5,8,3.29,24074.28,5,30,1,0,22,293
6421,34,29,3.72,15501.14,14,8,0,1,12,2878
7232,30,0,0.77,37593.48,12,39,1,1,17,3306
4613,31,14,2.68,35369.94,9,56,1,0,12,2769
7624,46,10,5.79,54447.42,15,17,0,1,18,2745
8022,8,29,0.33,38116.97,6,7,1,1,10,1892
7211,17,48,0.93,65880.4,14,33,0,1,0,243
6733,14,41,4.22,10922.63,3,100,0,0,7,3467
3496,15,8,3.57,31120.15,16,86,0,0,14,3171
2876,49,10,0.84,25964.42,10,14,0,1,18,1567
4249,4,37,0.04,39033.6,8,14,1,0,18,1452
7071,4,32,0.64,32028.63,11,2,1,1,3,1513
8532,45,9,4.0,10365.62,14,23,1,1,14,3412
5397,20,15,1.31,32176.46,3,36,1,0,14,2529
6511,1,31,1.83,37045.22,11,24,1,0,11,1424
5526,35,0,1.46,30360.65,17,25,0,0,23,2031
4937,44,30,2.5,26512.89,16,58,0,0,9,1686
6016,42,37,0.49,27807.31,12,61,1,1,23,1384
8434,17,19,2.72,68382.17,9,30,0,0,10,3072
4033,12,13,0.28,17888.26,16,36,1,0,6,961
5952,0,45,6.97,38878.44,18,17,1,0,1,1226
3068,40,48,0.37,19877.01,16,14,0,1,15,1834
1841,16,30,0.76,66564.19,4,9,1,1,2,2608
3485,9,36,2.24,40286.9,10,11,0,0,17,2513
4697,49,33,2.34,29058.49,13,58,1,1,18,1280
1986,39,47,2.2,18415.98,4,98,0,0,8,362
3847,35,4,0.54,55623.76,6,1,1,1,22,1954
4792,18,45,1.53,27319.06,10,90,1,0,21,1113
4241,27,7,3.25,40781.93,18,29,0,1,4,274
6039,38,47,0.59,8074.78,19,37,1,0,14,2896
5460,32,34,3.66,33337.32,16,57,0,0,13,2502
2496,14,43,3.97,32283.22,19,76,0,1,18,3155
8708,33,41,2.53,25484.13,15,36,0,1,20,403
7690,21,20,1.52,48046.73,4,21,1,1,22,1210
7561,48,35,0.85,32855.29,2,59,0,1,8,504
7622,32,0,0.07,43846.38,18,60,1,0,6,1511
9167,40,28,3.81,12469.54,2,27,1,0,9,3637
2989,1,40,2.05,56551.51,20,31,0,1,17,2292
4681,7,29,1.41,33993.34,4,83,0,1,22,2114
7807,30,30,1.42,49722.75,8,59,0,1,6,2111
3236,4,17,0.02,34430.47,14,44,1,0,9,3460
9022,9,28,0.33,54645.76,18,62,1,1,17,1575
6272,12,44,4.64,35972.54,8,74,1,0,13,1333
7246,24,42,2.52,30675.5,5,64,0,0,16,1389
8213,6,33,6.88,44677.03,15,2,0,1,20,336
5342,21,39,1.75,36079.45,13,84,0,1,21,1586
8994,34,2,0.44,14772.78,20,9,0,1,7,1807
2646,28,10,8.36,34272.37,10,4,0,1,1,1498
3385,15,33,4.13,31077.21,14,73,0,0,5,2526
4945,31,37,1.62,44248.99,5,30,1,1,14,2761
8622,18,43,0.88,42362.5,18,21,0,1,11,1255
7951,44,16,0.12,50373.65,15,39,0,1,15,1001
6881,36,18,2.02,42035.22,10,3,1,1,0,3573
1803,38,47,5.65,79776.68,16,37,0,1,7,808
3240,40,6,2.78,11847.62,2,40,1,0,18,3029
5835,20,47,0.13,43254.04,14,23,0,0,17,2204
5465,10,16,1.88,57455.15,16,38,1,0,14,606
4696,43,46,1.33,51184.31,13,72,1,0,12,1113
8451,23,43,0.36,19602.97,9,75,1,1,3,987
6374,39,14,2.14,68344.01,3,82,1,1,20,507
1609,19,31,3.15,9757.88,4,13,0,0,12,1549
9850,26,37,1.08,34976.26,5,54,0,1,19,1175
7070,13,28,2.48,47421.61,15,31,1,0,21,2260
6876,3,25,0.86,29730.37,9,25,0,1,2,898
1349,3,50,0.38,40887.72,11,32,0,0,2,878
4817,21,49,2.19,45469.87,5,77,0,1,4,2242
3858,7,42,2.69,13546.44,1,17,0,1,7,1356
5347,3,8,0.55,50742.33,14,68,0,0,15,3216
2786,28,32,3.87,51462.28,8,79,0,1,14,157
8847,25,27,1.17,54483.54,4,63,1,0,2,2521
3067,17,39,2.01,33551.46,19,71,1,1,19,1237
8048,6,50,1.7,25642.57,4,84,0,1,14,1724
8430,25,26,1.1,23637.96,4,41,1,1,21,1563
8770,4,5,1.09,17439.96,3,12,1,0,23,3355
1982,37,35,2.57,67707.05,18,43,0,1,11,3103
1842,18,38,0.64,21145.94,10,46,0,0,4,2005
2773,22,35,0.94,24533.65,12,15,1,0,13,3173
1430,38,42,0.49,16458.39,9,4,0,1,22,1421
3972,9,36,2.82,31631.7,13,9,0,0,2,911
8432,21,10,3.59,53631.88,12,40,1,0,1,674
1815,43,5,10.18,60670.65,9,57,1,1,19,1726
9394,7,22,4.08,8707.06,14,15,1,1,16,1293
7475,38,3,2.87,72974.12,1,27,1,0,4,1215
1126,31,47,5.22,51310.55,14,23,0,1,17,2079
6802,4,25,2.68,13632.79,2,56,0,1,2,2388
7626,45,40,0.14,30321.02,14,38,0,1,0,733
8538,44,23,1.04,28764.78,3,56,0,0,13,1670
7484,19,47,1.96,35459.28,11,29,1,0,2,2623
9355,12,49,1.99,22106.46,12,45,0,0,3,1078
3504,48,48,4.81,41234.84,3,23,1,1,18,1868
6295,40,20,3.04,45203.6,5,57,0,1,14,1270
1920,22,32,3.8,38291.48,3,40,1,1,1,1540
2257,41,5,2.5,19298.02,20,77,1,1,18,3273
1672,28,36,1.25,14961.88,7,42,1,0,1,453
6626,45,5,0.86,36846.91,17,83,0,0,7,1829
3600,23,23,6.33,32848.93,10,50,1,1,21,244
6482,4,21,0.6,32336.45,4,72,1,1,8,2498
6461,5,37,0.64,54655.92,5,45,1,1,4,2933
6072,35,24,7.95,24220.51,11,17,0,1,16,104
3953,13,21,0.02,30795.88,16,25,0,0,4,1241
2657,32,49,10.0,34481.66,18,95,0,1,19,2476
3658,11,44,5.01,42495.06,20,22,1,0,13,2800
8277,39,18,4.46,57053.62,15,30,0,1,15,1536
8218,29,49,3.61,32867.34,10,100,1,1,5,3311
5096,3,41,7.23,50352.97,16,48,0,0,9,3155
8361,32,9,4.64,28892.71,14,12,0,1,11,1729
9224,23,15,2.85,42611.55,13,11,1,0,0,435
6493,50,9,0.85,23136.45,5,5,1,1,22,3138
8349,39,0,2.44,25533.33,3,3,1,0,4,3008
7934,7,49,4.1,37659.48,10,31,1,0,1,1749
8489,4,7,2.64,33095.65,16,77,0,0,22,1223
6780,15,36,1.08,19065.31,14,24,0,1,2,2258
9316,35,1,1.01,38234.6,13,61,0,1,11,3091
2106,22,15,0.62,37302.43,4,99,1,0,1,2266
3868,49,43,1.05,17257.01,15,90,1,0,4,2962
8498,2,18,1.14,33215.73,7,6,0,0,10,2141
9897,30,16,2.23,27748.28,2,97,0,1,11,3576
5476,7,23,0.92,51721.02,14,52,1,1,10,2062
7018,33,17,0.72,34906.72,3,94,1,0,13,3398
5813,20,6,2.31,65943.02,3,42,1,1,14,2969
8272,22,28,5.66,39821.36,2,94,1,1,8,3271
2229,42,40,2.37,22523.1,13,47,0,0,4,2807
1570,8,4,0.99,65247.75,8,100,1,1,12,162
8371,23,23,1.52,11591.4,15,98,0,0,16,1660
5566,15,7,0.14,39592.96,1,95,0,1,16,2330
5264,45,28,3.86,12228.99,7,79,1,1,6,585
8406,11,45,11.74,47029.32,15,12,1,1,22,2282
5914,10,45,3.26,24129.32,6,47,0,0,6,999
1430,23,35,2.77,27038.33,19,48,1,0,19,299
8842,33,26,0.48,23094.94,14,74,0,0,10,333
9476,22,8,2.02,31266.55,18,82,0,0,13,3586
3034,33,9,0.92,17007.78,10,22,0,1,22,1447
9501,18,5,0.2,27588.72,9,26,1,0,20,2546
9234,41,10,3.63,49694.9,19,75,0,0,21,2981
6531,36,2,1.5,41612.38,1,11,0,1,20,3171
1496,31,40,2.02,25945.55,18,38,1,1,7,1693
2195,44,3,1.7,25934.45,6,57,1,1,14,1423
6121,45,20,0.44,14276.63,12,52,0,1,16,464
8642,7,17,1.27,14292.4,15,32,0,0,1,1603
7850,15,10,2.24,31621.24,11,74,1,0,5,2138
6055,31,1,1.34,34567.27,3,51,1,0,6,1475
5609,31,38,3.67,76052.67,16,37,0,0,13,3644
6992,48,25,0.44,67837.65,12,6,1,0,18,827
5728,4,24,3.49,15548.29,17,58,1,0,4,1643
6555,35,23,0.5,32504.87,5,26,1,0,1,591
8761,33,29,0.69,46145.35,5,78,0,1,19,695
5902,37,21,0.46,109642.94,17,66,1,1,15,1538
2795,26,37,2.58,24972.01,10,93,0,1,8,3236
4728,46,3,0.98,10708.6,19,62,0,1,4,1022
2800,12,1,5.88,29102.71,15,41,1,0,13,1710
8726,47,46,0.41,58422.43,2,91,0,0,17,2742
7173,20,11,2.83,31457.57,15,69,1,1,21,2664
5331,39,30,2.66,63228.17,7,32,1,1,7,3188
4396,44,45,2.14,14452.22,16,41,1,1,17,1208
9899,24,25,1.68,48401.67,12,99,0,1,1,2955
8247,41,16,0.86,26813.06,16,28,0,1,17,592
4920,15,3,0.72,30379.27,17,29,0,0,3,1382
2647,43,49,1.9,45810.1,5,1,0,1,20,1985
5706,20,18,2.25,13683.32,2,99,0,0,17,747
3880,2,25,4.35,33696.82,16,24,1,0,0,2356
6489,18,29,0.95,37428.31,18,68,1,0,16,1147
2845,21,10,5.87,32198.37,15,83,1,0,0,3268
4164,11,39,1.08,21746.66,13,55,1,0,12,420
3303,30,20,1.71,8032.01,8,1,1,1,7,3117
6400,19,37,4.69,26468.95,19,2,1,1,22,284
8625,19,10,2.79,43769.38,13,88,1,0,20,1535
4590,8,30,1.05,17562.17,5,59,1,1,22,1958
4578,48,15,2.24,27686.34,20,11,1,1,2,489
9972,32,12,1.93,46379.5,19,69,0,0,10,1839
4365,45,37,4.01,49899.37,16,12,1,0,14,2132
1945,35,29,2.75,51549.13,10,93,0,1,8,3084
2196,2,27,6.72,36909.64,12,90,0,0,2,159
3948,49,8,4.61,22271.92,14,48,1,1,12,358
9835,8,41,0.84,22423.05,12,16,0,1,16,3011
1056,48,1,0.96,60726.32,10,60,1,1,7,1916
5516,12,46,2.29,27426.49,4,5,1,0,7,305
1550,28,38,0.67,53410.75,2,32,0,1,14,2240
1924,8,32,0.08,38798.76,10,30,1,1,7,3619
9540,14,26,1.63,35145.31,10,36,0,0,20,1779
1768,22,41,0.95,23540.81,13,68,1,1,13,1258
9813,30,15,0.13,46665.5,8,39,0,1,1,1720
9683,8,24,1.61,33093.69,8,33,0,1,20,1872
2514,34,46,1.81,56631.93,7,7,1,1,21,2499
2192,12,48,3.32,28835.11,19,93,0,1,6,1271
1251,13,12,3.5,31093.0,4,96,1,0,22,2912
4921,35,20,1.7,26546.36,10,49,1,1,9,1503
9147,29,6,1.32,44237.04,16,98,1,0,11,1725
4625,47,9,0.7,33442.15,1,34,1,1,4,1381
5026,31,35,0.39,42581.34,11,33,1,1,14,3031
3773,8,46,0.86,41510.59,18,63,0,0,16,3466
1794,48,0,0.12,68834.25,14,18,0,0,22,67
8471,23,3,1.8,65791.36,20,82,1,1,0,2209
1194,1,33,1.88,55975.44,9,69,1,0,16,1793
3937,6,6,1.6,46056.15,17,20,0,0,19,1063
5379,50,25,0.44,64981.85,3,48,1,1,18,2885
2320,41,41,2.21,16430.67,2,12,1,1,12,1979
1154,44,10,2.25,20356.5,3,64,1,1,18,2193
4764,13,44,1.0,47021.9,19,61,1,0,2,1178
1539,11,20,3.06,6150.79,1,27,0,1,2,695
7375,43,34,3.31,32472.41,11,50,0,0,16,249
4803,4,21,3.95,27615.09,20,99,1,1,0,1149
8381,31,14,1.29,46958.96,12,71,1,1,5,2429
2404,49,39,3.65,18701.28,10,32,0,0,8,1586
3527,47,24,2.99,38524.28,11,47,0,0,0,1851
5419,6,8,8.12,47607.53,3,24,1,1,17,2128
1430,5,22,1.44,27102.36,18,12,1,1,0,1724
2387,46,35,0.25,55343.65,8,74,0,1,5,1131
9079,9,4,0.02,29528.27,6,56,1,1,9,3235
5123,15,46,0.74,26249.53,16,77,0,1,3,1277
7483,21,39,0.26,18198.7,13,43,1,1,13,2464
6253,38,44,1.0,32322.46,7,62,1,0,12,1223
9044,36,50,0.08,26145.16,8,42,1,1,12,496
4273,37,34,4.37,31034.47,6,88,0,1,22,1825
2133,50,50,0.71,31464.57,14,87,1,0,20,1021
3525,45,27,0.55,18854.04,13,10,1,1,18,2218
7853,34,2,0.36,32199.19,12,90,0,0,7,2752
1725,36,41,0.84,41768.48,13,97,1,1,3,433
9366,47,33,1.95,31102.92,18,75,0,1,11,1926
9199,9,22,0.46,33173.54,1,62,0,1,13,505
3321,22,19,0.0,43273.39,11,59,0,1,11,429
8412,20,4,0.79,42808.62,10,6,0,0,10,477
3692,47,15,0.44,32911.88,17,23,0,1,17,1922
7636,40,11,1.84,21395.02,6,82,1,1,0,3647
8037,24,0,0.81,40288.07,7,27,1,0,18,3304
4063,23,20,0.79,40772.54,7,59,0,1,21,2191
6134,38,24,3.63,31346.33,20,51,0,1,11,2558
5873,39,37,0.81,59298.01,3,87,0,1,3,1280
7116,44,9,0.12,40973.07,17,50,1,0,18,1762
9804,44,41,5.39,22227.07,6,72,0,1,9,796
8389,39,3,2.26,27054.14,12,2,1,0,6,2330
9109,26,43,1.67,24883.03,16,54,1,1,5,2345
4613,18,2,0.46,26002.76,9,29,1,0,14,3071
9115,35,32,1.87,34728.15,4,74,0,1,17,2250
1681,48,46,2.42,50698.43,15,70,0,1,3,3107
1528,28,16,1.29,12832.4,12,12,1,0,7,3350
6744,45,39,7.14,34555.16,14,22,0,0,6,2365
5605,38,34,0.84,21015.88,6,42,1,1,18,3544
2560,8,48,3.06,45787.58,14,8,1,0,22,1052
6277,15,48,6.38,32360.28,13,63,0,1,20,1566
2525,25,32,0.82,49350.52,9,89,1,1,15,2413
2526,46,29,1.38,42556.24,12,9,1,0,13,2056
5646,21,35,1.32,60929.09,19,17,1,1,21,218
8529,1,7,1.68,23872.03,6,57,1,0,13,2850
5945,10,17,2.33,29954.36,3,84,1,1,2,2751
3711,3,25,2.52,24856.42,10,93,0,1,20,2912
4496,30,4,0.68,26470.99,5,76,0,1,0,2879
2975,27,44,0.89,27979.88,5,62,0,0,12,3023
2690,20,23,2.36,54474.07,10,18,1,0,20,615
1138,39,41,1.35,28456.53,6,57,1,0,20,1716
8248,13,5,3.6,71059.77,4,18,0,1,11,1318
5059,17,41,0.22,44694.41,3,32,1,0,21,871
9348,12,47,3.6,26124.84,13,38,0,0,15,491
2163,33,0,8.09,36259.16,12,41,0,1,18,1526
3830,48,30,0.14,40992.51,3,3,0,0,8,193
7520,32,18,4.43,40535.02,17,99,1,1,22,367
9808,39,9,3.44,30471.99,9,11,1,0,16,3339
6353,25,37,0.1,54042.67,3,40,1,0,1,383
2900,29,39,2.26,36280.53,20,8,1,0,3,2929
1185,10,31,0.36,22467.18,12,67,1,0,11,3101
5403,46,7,2.81,31648.16,1,43,1,1,16,1107
2262,31,29,4.75,19392.48,17,47,0,1,18,1536
2685,36,43,0.37,31414.8,4,30,0,0,0,218
7274,9,11,2.32,40724.85,2,71,1,0,10,1734
6241,17,4,0.62,34075.26,19,48,0,0,5,3324
1752,25,4,4.81,26797.41,15,37,1,1,2,1900
4287,18,36,1.99,27466.25,10,95,0,1,11,2050
4201,46,34,0.15,36826.06,8,20,0,1,0,2248
1157,21,0,0.2,23906.15,13,95,1,0,6,1005
1981,9,45,1.1,31251.79,9,12,0,0,16,2900
8511,47,5,1.19,67250.39,19,13,0,1,2,2355
3141,15,18,0.56,28939.47,9,41,1,1,10,1143
4321,8,49,1.04,47791.14,19,14,0,0,5,1938
2978,34,22,4.46,26982.98,7,58,1,1,8,400
5984,45,44,2.28,24187.26,20,6,0,1,4,2942
6828,25,32,2.96,25015.7,2,87,1,1,5,1686
5093,6,29,0.03,65266.54,4,18,0,0,1,565
7563,23,43,6.56,24589.74,3,75,1,0,0,839
8265,8,5,1.08,22157.68,11,16,0,1,1,2380
7471,31,1,4.03,22138.34,13,88,1,0,11,796
8307,9,2,3.57,94421.63,20,80,0,1,15,3645
1999,5,17,0.73,55628.09,13,18,1,0,20,1050
9907,50,1,0.04,38211.97,13,92,1,1,17,1439
9231,20,24,0.44,32467.9,9,24,0,1,19,150
5602,3,30,2.82,32283.54,17,46,0,0,3,2720
9743,50,47,1.73,12076.17,2,98,0,1,11,751
6210,47,44,0.31,65640.01,12,76,0,1,18,612
4084,31,34,0.29,15545.97,10,23,1,0,2,982
1326,33,30,2.1,35600.17,1,43,0,0,10,3316
6301,3,1,3.2,34733.68,5,76,0,0,16,327
7481,37,6,2.1,29223.61,11,39,1,0,5,3273
8982,41,20,1.93,6784.62,6,91,1,0,21,3366
6026,46,44,1.59,33165.09,10,17,0,0,22,1633
1530,11,38,6.8,13043.84,11,79,0,0,15,1386
4899,22,20,3.01,65348.56,6,82,0,1,14,1116
2110,22,16,2.09,67292.15,4,93,0,0,12,3030
3725,26,31,0.42,42025.47,13,45,1,0,15,2696
4695,10,28,5.07,33978.3,3,5,1,0,10,458
3787,24,10,3.55,52942.77,3,71,0,1,19,2007
8066,41,10,2.77,29567.47,20,56,0,0,3,871
7705,44,35,0.87,24507.29,18,34,1,1,7,233
9043,9,3,5.9,70693.11,12,1,1,0,9,2590
4271,6,1,1.32,61991.73,7,22,1,0,15,1293
8715,31,42,1.54,18072.6,9,12,1,0,11,1543
1731,16,28,0.97,41150.77,15,34,0,1,18,649
2584,5,42,0.18,13659.76,12,70,1,0,17,3473
9561,26,34,0.41,27211.61,16,74,0,1,9,1647
1568,32,36,1.64,74053.14,17,74,0,0,14,714
4157,8,2,1.64,26253.82,14,11,1,0,20,3446
6238,46,4,0.1,27209.31,3,50,1,1,8,1906
1202,50,44,0.91,19869.66,20,76,1,0,13,637
2641,6,36,1.04,56665.74,4,37,1,1,8,2712
8750,2,11,4.75,22646.8,9,52,0,1,1,3630
4892,3,47,4.0,37007.47,16,35,1,0,10,1303
9054,44,43,0.81,24334.41,4,30,0,1,23,3200
5414,46,26,0.74,37646.71,20,83,0,0,14,3404
8937,48,33,1.69,47718.15,12,8,0,0,9,1682
9589,36,1,0.69,20218.28,6,25,0,0,7,1899
6904,45,12,0.54,39711.74,9,48,1,1,20,2820
7102,31,38,0.67,47044.78,15,23,1,1,11,3461
2480,18,1,5.58,33930.51,13,7,0,0,7,952
5408,41,26,1.25,37840.55,17,3,0,1,4,739
1138,14,16,2.25,15715.02,20,40,1,1,12,1910
8646,19,43,5.36,31448.42,17,80,1,0,0,2743
7131,35,41,1.94,22967.67,20,78,1,1,21,2003
5529,40,20,0.89,28832.84,9,34,1,0,4,3165
1930,38,25,0.61,35010.75,11,88,0,0,20,1240
7857,25,24,1.67,35261.33,2,75,0,1,23,2841
8794,42,22,1.38,12071.36,17,39,0,0,9,1958
5237,46,35,0.89,44540.3,6,88,1,0,7,944
6031,26,50,0.44,42079.34,11,48,1,1,14,1957
2166,30,12,1.27,19977.31,17,16,1,1,13,3596
3250,12,21,0.55,15773.04,14,73,1,0,10,3220
6449,40,11,3.15,58352.49,11,82,0,0,14,887
3762,36,48,3.06,84762.87,6,63,0,0,19,2624
8029,30,24,4.83,14901.34,1,5,0,1,0,3130
4122,1,43,1.4,52558.87,1,81,0,0,22,1308
7284,32,37,5.13,21992.76,10,22,0,0,9,1897
9587,21,27,1.05,19727.16,5,44,1,1,6,3355
4742,14,46,5.81,36556.37,5,28,0,0,3,2942
1612,24,40,2.8,41336.53,9,99,0,0,21,2707
1790,44,7,2.4,24151.72,14,57,1,0,17,1973
4366,44,43,0.47,46190.99,1,39,1,0,21,1135
3247,26,6,0.39,23810.93,17,93,0,1,3,2068
4272,49,16,0.62,29953.69,17,26,1,1,9,191
4402,44,30,1.57,46700.98,11,31,0,0,21,482
9095,9,5,0.62,32184.86,17,10,0,1,20,1900
5850,16,29,0.05,21051.78,2,13,0,0,9,3313
7979,47,7,5.93,34991.46,4,98,0,0,4,2680
6857,28,39,1.5,37657.76,9,94,0,1,10,496
8479,17,24,0.48,98273.58,16,54,0,0,4,3488
7816,37,30,5.65,50544.09,19,87,1,0,19,3221
1472,43,46,1.36,16958.99,5,62,1,0,13,218
6148,0,45,0.38,31135.34,17,99,0,1,16,2849
2560,27,42,2.32,69526.33,8,62,1,1,4,2540
3571,32,30,0.4,27644.31,16,22,0,1,10,1385
1824,32,14,0.43,36512.27,18,83,1,1,7,1910
8341,5,31,1.15,51474.34,15,41,0,1,23,102
7755,2,35,1.9,65645.12,18,1,0,1,16,877
8474,21,23,0.23,38282.41,2,29,1,1,17,2487
6952,45,28,5.33,54928.65,4,13,0,0,10,3429
5783,35,33,0.18,36961.3,12,90,0,0,5,605
7704,6,16,0.1,27475.42,20,26,0,0,12,1902
4122,45,21,2.66,25122.82,4,97,1,0,20,2441
8381,29,42,1.0,28402.97,19,65,0,1,0,3045
8091,37,30,1.74,32563.93,17,100,0,0,23,454
6273,32,24,1.15,29886.93,14,78,0,1,12,1234
3185,8,26,0.09,35797.2,20,90,1,1,22,2621
4435,39,45,0.15,18803.87,10,88,1,0,22,758
6281,45,7,2.36,26425.67,12,72,1,1,21,1201
7920,0,33,2.75,39524.28,4,4,1,0,1,261
3636,18,43,0.06,26235.31,9,19,0,1,6,162
8415,6,39,4.67,40857.23,18,29,1,0,16,2868
7251,24,26,1.83,26194.35,11,71,0,0,23,861
8259,14,40,1.9,39060.25,12,97,0,0,9,756
2220,11,11,0.05,12482.36,17,16,1,0,13,2309
3636,37,16,1.12,18760.15,1,43,1,0,1,1351
5934,31,50,5.64,36298.9,19,71,1,0,22,2182
4012,33,4,0.46,45255.84,17,21,1,1,2,936
6437,21,23,0.03,43747.87,10,28,1,0,3,1447
4994,2,43,3.66,64900.17,11,49,0,1,8,2995
9468,49,23,1.4,33822.87,17,66,1,1,1,2698
9419,5,6,0.28,62621.12,6,99,0,0,6,2608
7950,6,13,0.6,48505.32,18,90,1,0,23,659
6434,2,5,4.63,28956.72,3,7,0,1,17,2385
5237,26,24,0.76,13846.37,15,81,1,1,10,1625
9762,0,41,2.33,31000.14,20,9,0,0,11,464
5937,38,5,1.22,37512.24,10,98,1,1,12,156
9740,14,8,1.28,40743.85,13,70,1,0,9,3286
7113,0,35,2.06,6612.09,18,19,0,0,0,2473
9970,5,19,3.23,55109.19,7,96,1,0,13,3517
3637,11,14,2.32,48371.23,20,33,0,0,5,3305
1891,48,35,0.11,47375.05,15,83,0,1,21,1056
8982,21,22,0.73,30536.09,5,86,0,0,9,315
6206,31,28,7.07,28313.52,11,79,1,0,18,1522
8017,10,0,5.08,36430.91,11,32,0,1,8,580
6432,30,29,0.11,42702.35,15,46,1,1,17,749
2343,17,8,0.91,27737.55,18,26,1,0,23,106
1511,37,37,2.18,57497.35,13,99,0,0,17,2256
9842,30,41,0.43,64433.61,5,47,1,0,18,578
9362,5,25,1.98,45916.69,12,65,0,0,19,709
3299,28,10,3.16,39902.77,6,73,0,1,11,926
4796,4,16,0.82,25946.62,12,30,0,0,16,1619
8448,2,2,3.53,42379.32,11,14,1,1,18,2365
7201,23,37,4.03,14265.94,3,67,1,1,7,1692
6653,31,50,1.13,29200.49,16,78,0,0,14,972
5600,13,9,3.83,12171.45,6,21,1,0,21,1728
2856,30,43,3.12,39315.91,16,62,0,0,20,121
3095,36,37,2.17,26196.84,6,18,0,0,1,1087
9464,25,38,6.29,61089.69,19,82,0,1,2,1869
8723,30,10,2.99,21453.74,8,53,0,0,19,2122
6614,29,38,0.57,44311.92,19,9,0,1,12,474
9564,32,43,2.24,9397.21,14,20,0,0,15,2486
9706,32,48,0.58,41475.48,4,12,1,0,19,3419
8069,33,26,5.26,15481.46,12,6,1,0,15,1465
2600,27,8,0.74,26534.92,9,62,0,0,9,3621
5223,12,0,0.34,38480.15,1,74,0,0,12,871
6175,26,23,4.37,51927.33,4,20,1,1,8,1764
5514,43,25,2.09,35164.24,7,53,1,0,11,2302
6024,36,22,4.6,17392.31,13,95,0,0,23,1859
3650,6,13,1.25,11213.71,17,52,1,0,5,2634
2492,9,30,2.13,47766.28,20,56,0,0,8,1548
1618,46,24,0.53,43015.6,13,79,1,0,5,2054
4304,42,33,1.85,51744.19,10,25,0,0,19,2790
4919,41,0,0.93,74147.36,6,12,1,1,11,1648
4281,33,0,3.33,17099.29,3,12,1,1,11,956
4187,29,25,0.5,44109.12,19,1,1,0,13,466
9243,18,21,0.54,44389.78,4,66,1,1,22,1574
4985,48,21,0.75,30284.41,15,88,1,0,15,1086
